Actual,Predicted
5.0,3.48
4.8,5.09
3.4,2.51
1.8,3.44
3.5,2.67
3.2,3.94
2.8,2.51
3.0,2.81
3.3,3.36
3.8,3.05
4.4,3.7
3.7,5.1
2.9,3.79
2.4,2.34
3.6,3.98
3.6,3.17
1.8,1.82
4.0,3.14
3.5,2.5
1.9,2.29
4.1,4.25
4.3,3.2
4.6,4.69
2.6,4.2
6.9,4.27
4.2,3.9
7.3,5.71
1.3,2.5
1.4,2.78
3.0,2.45
1.7,0.17
5.7,4.29
2.8,1.94
3.1,2.68
2.5,4.2
3.4,3.35
1.9,2.88
4.9,3.65
1.3,2.31
4.1,4.38
1.6,1.1
4.3,3.68
2.5,2.63
2.7,3.65
0.7,2.02
4.2,2.88
2.0,3.38
1.9,2.68
3.8,3.84
4.0,2.93
2.6,3.38
3.7,2.91
1.5,2.47
3.7,5.16
4.1,4.74
3.2,3.02
3.4,2.98
3.8,4.0
3.6,4.06
1.2,1.97
0.7,1.92
4.3,4.03
1.9,2.05
3.4,4.29
6.0,5.44
2.7,3.85
4.9,4.3
2.7,4.17
3.8,2.93
0.5,2.13
3.7,2.19
1.4,2.05
3.6,4.38
3.6,3.53
6.3,3.71
5.6,4.63
6.6,5.33
3.0,1.63
3.7,4.63
4.5,3.76
4.2,4.1
4.2,3.23
2.2,1.83
5.1,4.15
1.1,2.05
2.1,2.52
3.5,3.67
1.8,2.82
3.9,4.0
4.9,3.86
2.9,2.57
3.1,3.86
2.5,3.42
3.4,3.13
2.7,3.8
0.5,1.72
0.5,0.94
2.1,3.53
1.6,4.21
3.8,2.66
5.1,4.55
3.1,3.23
3.0,3.28
4.1,3.19
3.4,3.22
1.7,3.19
3.6,3.07
5.7,4.7
4.5,3.81
4.7,4.03
3.8,3.71
4.1,3.71
6.2,3.48
3.9,3.6
2.5,2.25
5.2,4.47
2.9,3.85
4.5,2.65
4.2,4.2
3.6,3.29
4.5,4.33
2.7,4.7
3.5,2.51
2.6,3.13
1.8,2.45
2.8,2.66
3.0,3.35
2.2,1.82
5.4,4.81
4.8,3.68
2.9,3.44
3.8,5.32
2.6,1.97
1.7,2.59
3.8,3.74
3.1,3.64
3.6,2.11
2.8,3.91
4.0,3.8
5.1,4.49
4.0,4.13
2.7,3.92
3.3,3.28
3.7,3.59
4.9,3.96
4.3,4.21
4.5,3.46
1.4,1.64
3.1,2.91
2.3,3.5
5.6,5.47
1.5,3.6
4.4,4.12
2.1,3.01
4.9,4.59
2.4,3.52
6.1,4.01
6.4,5.39
3.9,3.06
1.4,1.81
3.4,3.03
3.1,4.47
3.9,3.53
3.0,4.01
5.4,4.61
2.7,3.5
3.9,4.1
4.7,3.97
4.7,4.75
1.6,2.84
3.8,3.59
4.4,3.6
2.0,2.78
5.4,4.0
2.6,2.52
6.3,4.89
3.0,3.55
4.3,2.7
4.4,4.36
4.2,4.99
4.3,3.93
4.8,5.45
3.1,4.16
4.3,3.88
4.1,3.34
2.6,3.61
4.3,4.2
2.0,2.69
7.2,5.33
2.9,3.85
3.2,3.08
2.0,2.42
4.6,4.72
3.8,3.22
5.5,3.16
3.3,3.56
3.5,3.61
1.9,2.1
3.6,4.08
4.2,3.87
